Timestamp,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-4 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-4 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-3 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-3 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-2 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-2 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1648914317825,0
1648914317834,,12.34375
1648914317844,,,0
1648914317856,,,,12.359375
1648914317863,,,,,0
1648914317869,,,,,,12.3671875
1648914317875,,,,,,,0
1648914317882,,,,,,,,12.3046875
1648914317952,0,,,,,,,
1648914317957,,12.34375,,,,,,
1648914317964,,,0,,,,,
1648914317972,,,,12.3671875,,,,
1648914317980,,,,,0,,,
1648914317989,,,,,,12.375,,
1648914317996,,,,,,,0,
1648914318007,,,,,,,,12.3125
1648914318064,0,,,,,,,
1648914318070,,12.3515625,,,,,,
1648914318079,,,0,,,,,
1648914318087,,,,12.3671875,,,,
1648914318097,,,,,0,,,
1648914318105,,,,,,12.375,,
1648914318119,,,,,,,0,
1648914318125,,,,,,,,12.3125
1648914318186,0,,,,,,,
1648914318193,,12.34375,,,,,,
1648914318202,,,0,,,,,
1648914318209,,,,12.359375,,,,
1648914318217,,,,,0,,,
1648914318224,,,,,,12.3671875,,
1648914318232,,,,,,,0,
1648914318240,,,,,,,,12.3046875
1648914318300,0,,,,,,,
1648914318307,,12.34375,,,,,,
1648914318316,,,0,,,,,
1648914318323,,,,12.375,,,,
1648914318331,,,,,0,,,
1648914318339,,,,,,12.3671875,,
1648914318347,,,,,,,0,
1648914318355,,,,,,,,12.3125
1648914318422,0,,,,,,,
1648914318428,,12.3515625,,,,,,
